SRA Accession,species,Data type
SRR3581336,Arabidopsis thaliana,RNA-seq
SRR3581345,Arabidopsis thaliana,RNA-seq
SRR3581346,Arabidopsis thaliana,RNA-seq
SRR3581347,Arabidopsis thaliana,RNA-seq
SRR3581352,Arabidopsis thaliana,RNA-seq
SRR3581356,Arabidopsis thaliana,RNA-seq
SRR3581383,Arabidopsis thaliana,RNA-seq
SRR3581388,Arabidopsis thaliana,RNA-seq
SRR3581499,Arabidopsis thaliana,RNA-seq
SRR3581591,Arabidopsis thaliana,RNA-seq
SRR3581639,Arabidopsis thaliana,RNA-seq
SRR3581672,Arabidopsis thaliana,RNA-seq
SRR3581676,Arabidopsis thaliana,RNA-seq
SRR3581678,Arabidopsis thaliana,RNA-seq
SRR3581679,Arabidopsis thaliana,RNA-seq
SRR3581680,Arabidopsis thaliana,RNA-seq
SRR3581681,Arabidopsis thaliana,RNA-seq
SRR3581682,Arabidopsis thaliana,RNA-seq
SRR3581683,Arabidopsis thaliana,RNA-seq
SRR3581684,Arabidopsis thaliana,RNA-seq
SRR3581685,Arabidopsis thaliana,RNA-seq
SRR3581686,Arabidopsis thaliana,RNA-seq
SRR3581687,Arabidopsis thaliana,RNA-seq
SRR3581688,Arabidopsis thaliana,RNA-seq
SRR3581689,Arabidopsis thaliana,RNA-seq
SRR3581690,Arabidopsis thaliana,RNA-seq
SRR3581691,Arabidopsis thaliana,RNA-seq
SRR3581692,Arabidopsis thaliana,RNA-seq
SRR3581693,Arabidopsis thaliana,RNA-seq
SRR3581694,Arabidopsis thaliana,RNA-seq
SRR3581695,Arabidopsis thaliana,RNA-seq
SRR3581696,Arabidopsis thaliana,RNA-seq
SRR3581697,Arabidopsis thaliana,RNA-seq
SRR3581698,Arabidopsis thaliana,RNA-seq
SRR3581699,Arabidopsis thaliana,RNA-seq
SRR3581700,Arabidopsis thaliana,RNA-seq
SRR3581701,Arabidopsis thaliana,RNA-seq
SRR3581702,Arabidopsis thaliana,RNA-seq
SRR3581703,Arabidopsis thaliana,RNA-seq
SRR3581704,Arabidopsis thaliana,RNA-seq
SRR3581705,Arabidopsis thaliana,RNA-seq
SRR3581706,Arabidopsis thaliana,RNA-seq
SRR3581707,Arabidopsis thaliana,RNA-seq
SRR3581708,Arabidopsis thaliana,RNA-seq
SRR3581709,Arabidopsis thaliana,RNA-seq
SRR3581710,Arabidopsis thaliana,RNA-seq
SRR3581711,Arabidopsis thaliana,RNA-seq
SRR3581712,Arabidopsis thaliana,RNA-seq
SRR3581713,Arabidopsis thaliana,RNA-seq
SRR3581714,Arabidopsis thaliana,RNA-seq
SRR3581715,Arabidopsis thaliana,RNA-seq
SRR3581716,Arabidopsis thaliana,RNA-seq
SRR3581717,Arabidopsis thaliana,RNA-seq
SRR3581719,Arabidopsis thaliana,RNA-seq
SRR3581720,Arabidopsis thaliana,RNA-seq
SRR3581721,Arabidopsis thaliana,RNA-seq
SRR3581724,Arabidopsis thaliana,RNA-seq
SRR3581726,Arabidopsis thaliana,RNA-seq
SRR3581727,Arabidopsis thaliana,RNA-seq
SRR3581728,Arabidopsis thaliana,RNA-seq
SRR3581730,Arabidopsis thaliana,RNA-seq
SRR3581731,Arabidopsis thaliana,RNA-seq
SRR3581732,Arabidopsis thaliana,RNA-seq
SRR3581733,Arabidopsis thaliana,RNA-seq
SRR3581734,Arabidopsis thaliana,RNA-seq
SRR3581735,Arabidopsis thaliana,RNA-seq
SRR3581736,Arabidopsis thaliana,RNA-seq
SRR3581737,Arabidopsis thaliana,RNA-seq
SRR3581738,Arabidopsis thaliana,RNA-seq
SRR3581740,Arabidopsis thaliana,RNA-seq
SRR3581831,Arabidopsis thaliana,RNA-seq
SRR3581833,Arabidopsis thaliana,RNA-seq
SRR3581834,Arabidopsis thaliana,RNA-seq
SRR3581835,Arabidopsis thaliana,RNA-seq
SRR3581836,Arabidopsis thaliana,RNA-seq
SRR3581837,Arabidopsis thaliana,RNA-seq
SRR3581838,Arabidopsis thaliana,RNA-seq
SRR3581839,Arabidopsis thaliana,RNA-seq
SRR3581840,Arabidopsis thaliana,RNA-seq
SRR3581841,Arabidopsis thaliana,RNA-seq
SRR3581842,Arabidopsis thaliana,RNA-seq
SRR3581843,Arabidopsis thaliana,RNA-seq
SRR3581844,Arabidopsis thaliana,RNA-seq
SRR3581845,Arabidopsis thaliana,RNA-seq
SRR3581846,Arabidopsis thaliana,RNA-seq
SRR3581847,Arabidopsis thaliana,RNA-seq
SRR3581848,Arabidopsis thaliana,RNA-seq
SRR3581849,Arabidopsis thaliana,RNA-seq
SRR3581850,Arabidopsis thaliana,RNA-seq
SRR3581851,Arabidopsis thaliana,RNA-seq
SRR3581852,Arabidopsis thaliana,RNA-seq
SRR3581853,Arabidopsis thaliana,RNA-seq
SRR3581854,Arabidopsis thaliana,RNA-seq
SRR3581855,Arabidopsis thaliana,RNA-seq
SRR3581856,Arabidopsis thaliana,RNA-seq
SRR3581857,Arabidopsis thaliana,RNA-seq
SRR3581858,Arabidopsis thaliana,RNA-seq
SRR3581859,Arabidopsis thaliana,RNA-seq
SRR3581860,Arabidopsis thaliana,RNA-seq
SRR3581861,Arabidopsis thaliana,RNA-seq
SRR3581862,Arabidopsis thaliana,RNA-seq
SRR3581863,Arabidopsis thaliana,RNA-seq
SRR3581864,Arabidopsis thaliana,RNA-seq
SRR3581865,Arabidopsis thaliana,RNA-seq
SRR3581866,Arabidopsis thaliana,RNA-seq
SRR3581867,Arabidopsis thaliana,RNA-seq
SRR3581868,Arabidopsis thaliana,RNA-seq
SRR3581869,Arabidopsis thaliana,RNA-seq
SRR3581870,Arabidopsis thaliana,RNA-seq
SRR3581871,Arabidopsis thaliana,RNA-seq
SRR3581872,Arabidopsis thaliana,RNA-seq
SRR3581873,Arabidopsis thaliana,RNA-seq
SRR3581874,Arabidopsis thaliana,RNA-seq
SRR3581875,Arabidopsis thaliana,RNA-seq
SRR3581876,Arabidopsis thaliana,RNA-seq
SRR3581877,Arabidopsis thaliana,RNA-seq
SRR3581878,Arabidopsis thaliana,RNA-seq
SRR3581879,Arabidopsis thaliana,RNA-seq
SRR3581880,Arabidopsis thaliana,RNA-seq
SRR3581881,Arabidopsis thaliana,RNA-seq
SRR3581882,Arabidopsis thaliana,RNA-seq
SRR3581883,Arabidopsis thaliana,RNA-seq
SRR3581884,Arabidopsis thaliana,RNA-seq
SRR3581885,Arabidopsis thaliana,RNA-seq
SRR3581886,Arabidopsis thaliana,RNA-seq
SRR3581887,Arabidopsis thaliana,RNA-seq
SRR3581888,Arabidopsis thaliana,RNA-seq
SRR3581889,Arabidopsis thaliana,RNA-seq
SRR3581890,Arabidopsis thaliana,RNA-seq
SRR3581891,Arabidopsis thaliana,RNA-seq
SRR3581892,Arabidopsis thaliana,RNA-seq
SRR3581893,Arabidopsis thaliana,RNA-seq
SRR3581894,Arabidopsis thaliana,RNA-seq
SRR3581895,Arabidopsis thaliana,RNA-seq
SRR3581896,Arabidopsis thaliana,RNA-seq
SRR3581897,Arabidopsis thaliana,RNA-seq
SRR3581898,Arabidopsis thaliana,RNA-seq
SRR3581899,Arabidopsis thaliana,RNA-seq
SRR10019828,Brassica napus,RNA-seq
SRR10019829,Brassica napus,RNA-seq
SRR10019830,Brassica napus,RNA-seq
SRR10019831,Brassica napus,RNA-seq
SRR10019832,Brassica napus,RNA-seq
SRR10019833,Brassica napus,RNA-seq
SRR10019834,Brassica napus,RNA-seq
SRR10019835,Brassica napus,RNA-seq
SRR10019836,Brassica napus,RNA-seq
SRR10019837,Brassica napus,RNA-seq
SRR10019838,Brassica napus,RNA-seq
SRR10019839,Brassica napus,RNA-seq
SRR10019840,Brassica napus,RNA-seq
SRR10019841,Brassica napus,RNA-seq
SRR10019842,Brassica napus,RNA-seq
SRR10019843,Brassica napus,RNA-seq
SRR10019844,Brassica napus,RNA-seq
SRR10019845,Brassica napus,RNA-seq
SRR10019846,Brassica napus,RNA-seq
SRR10019847,Brassica napus,RNA-seq
SRR10019848,Brassica napus,RNA-seq
SRR10019849,Brassica napus,RNA-seq
SRR10019850,Brassica napus,RNA-seq
SRR10019851,Brassica napus,RNA-seq
SRR10019852,Brassica napus,RNA-seq
SRR10019853,Brassica napus,RNA-seq
SRR10019854,Brassica napus,RNA-seq
SRR10019855,Brassica napus,RNA-seq
SRR10019856,Brassica napus,RNA-seq
SRR10019857,Brassica napus,RNA-seq
SRR10019858,Brassica napus,RNA-seq
SRR10019859,Brassica napus,RNA-seq
SRR10019860,Brassica napus,RNA-seq
SRR10019861,Brassica napus,RNA-seq
SRR10019862,Brassica napus,RNA-seq
SRR10019863,Brassica napus,RNA-seq
SRR1778056,Brassica napus,RNA-seq
SRR1781543,Brassica napus,RNA-seq
